Id,Label
6001,8
6002,5
6003,0
6004,2
6005,3
6006,1
6007,4
6008,3
6009,1
6010,2
6011,3
6012,3
6013,3
6014,4
6015,5
6016,3
6017,0
6018,0
6019,2
6020,5
6021,1
6022,2
6023,0
6024,4
6025,2
6026,5
6027,2
6028,0
6029,4
6030,6
6031,6
6032,4
6033,2
6034,8
6035,1
6036,3
6037,1
6038,5
6039,1
6040,1
6041,3
6042,1
6043,0
6044,1
6045,3
6046,1
6047,2
6048,5
6049,5
6050,1
6051,0
6052,2
6053,0
6054,2
6055,4
6056,2
6057,2
6058,2
6059,2
6060,3
6061,2
6062,1
6063,2
6064,0
6065,0
6066,3
6067,3
6068,0
6069,7
6070,6
6071,0
6072,6
6073,4
6074,8
6075,9
6076,1
6077,1
6078,3
6079,5
6080,2
6081,1
6082,0
6083,9
6084,1
6085,1
6086,1
6087,1
6088,4
6089,5
6090,2
6091,3
6092,2
6093,7
6094,1
6095,6
6096,3
6097,1
6098,2
6099,6
6100,6
6101,9
6102,5
6103,2
6104,7
6105,2
6106,4
6107,5
6108,2
6109,1
6110,4
6111,7
6112,5
6113,1
6114,0
6115,0
6116,2
6117,5
6118,4
6119,2
6120,7
6121,3
6122,5
6123,5
6124,4
6125,6
6126,0
6127,7
6128,1
6129,2
6130,2
6131,3
6132,0
6133,6
6134,3
6135,2
6136,3
6137,2
6138,4
6139,6
6140,2
6141,1
6142,5
6143,3
6144,0
6145,4
6146,7
6147,2
6148,1
6149,4
6150,1
6151,2
6152,3
6153,2
6154,1
6155,6
6156,5
6157,3
6158,5
6159,3
6160,2
6161,2
6162,2
6163,2
6164,0
6165,9
6166,7
6167,2
6168,5
6169,2
6170,3
6171,1
6172,1
6173,4
6174,5
6175,4
6176,0
6177,2
6178,3
6179,5
6180,6
6181,3
6182,0
6183,7
6184,4
6185,2
6186,2
6187,6
6188,7
6189,2
6190,2
6191,6
6192,4
6193,3
6194,7
6195,3
6196,0
6197,1
6198,4
6199,3
6200,2
6201,4
6202,3
6203,1
6204,5
6205,2
6206,4
6207,5
6208,7
6209,5
6210,5
6211,4
6212,4
6213,5
6214,1
6215,2
6216,2
6217,1
6218,2
6219,2
6220,9
6221,4
6222,6
6223,6
6224,8
6225,1
6226,3
6227,2
6228,2
6229,3
6230,7
6231,0
6232,4
6233,2
6234,4
6235,6
6236,3
6237,0
6238,0
6239,0
6240,2
6241,3
6242,2
6243,0
6244,0
6245,2
6246,0
6247,7
6248,3
6249,3
6250,1
6251,1
6252,7
6253,7
6254,3
6255,1
6256,7
6257,2
6258,1
6259,4
6260,3
6261,6
6262,1
6263,1
6264,1
6265,7
6266,2
6267,6
6268,1
6269,0
6270,2
6271,7
6272,3
6273,2
6274,1
6275,2
6276,1
6277,1
6278,2
6279,3
6280,8
6281,4
6282,4
6283,4
6284,1
6285,0
6286,1
6287,2
6288,2
6289,1
6290,2
6291,3
6292,5
6293,4
6294,2
6295,3
6296,8
6297,4
6298,1
6299,3
6300,2
6301,5
6302,9
6303,3
6304,2
6305,3
6306,3
6307,7
6308,6
6309,1
6310,8
6311,5
6312,1
6313,0
6314,7
6315,2
6316,0
6317,1
6318,4
6319,1
6320,1
6321,1
6322,3
6323,0
6324,6
6325,1
6326,9
6327,1
6328,1
6329,2
6330,1
6331,2
6332,2
6333,1
6334,4
6335,1
6336,5
6337,0
6338,3
6339,0
6340,2
6341,6
6342,7
6343,6
6344,1
6345,3
6346,1
6347,2
6348,4
6349,3
6350,2
6351,2
6352,1
6353,5
6354,2
6355,6
6356,2
6357,4
6358,3
6359,6
6360,9
6361,4
6362,8
6363,1
6364,7
6365,1
6366,2
6367,2
6368,5
6369,3
6370,1
6371,3
6372,2
6373,0
6374,7
6375,2
6376,2
6377,2
6378,1
6379,2
6380,7
6381,2
6382,1
6383,3
6384,3
6385,5
6386,1
6387,3
6388,4
6389,3
6390,2
6391,5
6392,1
6393,3
6394,1
6395,1
6396,3
6397,1
6398,7
6399,1
6400,4
6401,0
6402,2
6403,1
6404,3
6405,3
6406,2
6407,3
6408,0
6409,4
6410,5
6411,3
6412,1
6413,7
6414,1
6415,2
6416,3
6417,9
6418,7
6419,6
6420,1
6421,7
6422,2
6423,1
6424,0
6425,9
6426,1
6427,3
6428,0
6429,0
6430,5
6431,5
6432,5
6433,6
6434,3
6435,2
6436,2
6437,2
6438,6
6439,1
6440,5
6441,2
6442,0
6443,2
6444,2
6445,1
6446,7
6447,3
6448,6
6449,2
6450,1
6451,1
6452,4
6453,1
